"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","core_enrichment_symbol"
"R-HSA-1650814","Collagen biosynthesis and modifying enzymes",64,-0.662813306315427,-1.95393147921975,1.57114185140357e-07,1.16796523874181e-06,1.82072036559782e-05,2664,"tags=72%, list=14%, signal=62%","1302/140766/5033/1293/8974/255631/1300/5351/1297/5352/1287/55214/1286/649/7093/91522/85301/1294/1289/9508/5118/7092/1285/10536/169044/1295/1307/1278/1280/84570/1281/1305/871/80781/283208/1290/7373/1291/1292/1277/50509/1303/1284/1282/1306/81578","COL11A2, ADAMTS14, P4HA1, COL6A3, P4HA2, COL24A1, COL10A1, PLOD1, COL9A1, PLOD2, COL4A5, P3H2, COL4A4, BMP1, TLL2, COL23A1, COL27A1, COL7A1, COL5A1, ADAMTS3, PCOLCE, TLL1, COL4A3, P3H3, COL22A1, COL8A1, COL16A1, COL1A2, COL2A1, COL25A1, COL3A1, COL13A1, SERPINH1, COL18A1, P4HA3, COL5A2, COL14A1, COL6A1, COL6A2, COL1A1, COL5A3, COL12A1, COL4A2, COL4A1, COL15A1, COL21A1"
"R-HSA-3906995","Diseases associated with O-glycosylation of proteins",61,-0.659948839785572,-1.9265964566073,2.0475466289004e-07,1.48288815134282e-06,2.17506926982315e-05,2670,"tags=46%, list=14%, signal=39%","11174/54437/92949/170692/57188/9508/79875/170690/55901/11095/10417/4584/170689/10071/7058/56999/9037/9215/9719/80731/9510/221981/11096/4854/11173/81792/4855/9507","ADAMTS6, SEMA5B, ADAMTSL1, ADAMTS18, ADAMTSL3, ADAMTS3, THSD4, ADAMTS16, THSD1, ADAMTS8, SPON2, MUC3A, ADAMTS15, MUC12, THBS2, ADAMTS9, SEMA5A, LARGE1, ADAMTSL2, THSD7B, ADAMTS1, THSD7A, ADAMTS5, NOTCH3, ADAMTS7, ADAMTS12, NOTCH4, ADAMTS4"
"R-HSA-446728","Cell junction organization",82,-0.631228648900592,-1.92713170337998,2.47670952682329e-07,1.74863160059634e-06,2.4285791392575e-05,3699,"tags=52%, list=20%, signal=42%","1499/3914/3688/1000/9069/5819/5818/9071/5817/92359/25945/56288/3655/84552/3691/84612/3909/9075/1004/977/1009/1006/999/1366/55742/53842/9076/221935/3861/3918/3728/1002/23562/1365/54751/55679/2318/10979/1007/1364/1003/1012/7122","CTNNB1, LAMB3, ITGB1, CDH2, CLDN12, NECTIN2, NECTIN1, CLDN10, PVR, CRB3, NECTIN3, PARD3, ITGA6, PARD6G, ITGB4, PARD6B, LAMA3, CLDN2, CDH6, CD151, CDH11, CDH8, CDH1, CLDN7, PARVA, CLDN22, CLDN1, SDK1, KRT14, LAMC2, JUP, CDH4, CLDN14, CLDN3, FBLIM1, LIMS2, FLNC, FERMT2, CDH9, CLDN4, CDH5, CDH13, CLDN5"
"R-HSA-389948","PD-1 signaling",21,0.827627606184062,2.56453620946512,3.36339831685205e-07,2.2719108822967e-06,3.06246267797582e-05,1716,"tags=76%, list=9%, signal=69%","5133/3932/917/916/915/80380/5777/920/1445/3122/3113/3117/919/3115/3118/29126","PDCD1, LCK, CD3G, CD3E, CD3D, PDCD1LG2, PTPN6, CD4, CSK, HLA-DRA, HLA-DPA1, HLA-DQA1, CD247, HLA-DPB1, HLA-DQA2, CD274"
"R-HSA-5083635","Defective B3GALTL causes PpS",36,-0.736640167429946,-2.00159233792989,5.90438944478334e-07,3.63845051312307e-06,5.01769517026851e-05,2670,"tags=64%, list=14%, signal=55%","11174/54437/92949/170692/57188/9508/79875/170690/55901/11095/10417/170689/7058/56999/9037/9719/80731/9510/221981/11096/11173/81792/9507","ADAMTS6, SEMA5B, ADAMTSL1, ADAMTS18, ADAMTSL3, ADAMTS3, THSD4, ADAMTS16, THSD1, ADAMTS8, SPON2, ADAMTS15, THBS2, ADAMTS9, SEMA5A, ADAMTSL2, THSD7B, ADAMTS1, THSD7A, ADAMTS5, ADAMTS7, ADAMTS12, ADAMTS4"
"R-HSA-375165","NCAM signaling for neurite out-growth",59,-0.66367347074327,-1.93264419044132,6.76955728640862e-07,4.15337466698869e-06,5.3933775485795e-05,2664,"tags=47%, list=14%, signal=41%","1286/8128/375790/1289/776/6710/6711/8913/5747/1285/6712/784/9048/1280/4902/1463/2260/1281/8912/1290/1291/1292/50509/775/1284/1282/783/779","COL4A4, ST8SIA2, AGRN, COL5A1, CACNA1D, SPTB, SPTBN1, CACNA1G, PTK2, COL4A3, SPTBN2, CACNB3, ARTN, COL2A1, NRTN, NCAN, FGFR1, COL3A1, CACNA1H, COL5A2, COL6A1, COL6A2, COL5A3, CACNA1C, COL4A2, COL4A1, CACNB2, CACNA1S"
"R-HSA-202433","Generation of second messenger molecules",31,0.738851691020906,2.43884878495608,8.26819746041867e-07,4.81209947175585e-06,5.7766107672778e-05,2531,"tags=71%, list=14%, signal=61%","3932/917/916/915/27040/9402/920/7454/3702/7535/51466/3122/3113/9398/3117/919/3115/3118/3937/5058/5336/3123","LCK, CD3G, CD3E, CD3D, LAT, GRAP2, CD4, WAS, ITK, ZAP70, EVL, HLA-DRA, HLA-DPA1, CD101, HLA-DQA1, CD247, HLA-DPB1, HLA-DQA2, LCP2, PAK1, PLCG2, HLA-DRB1"
"R-HSA-9013695","NOTCH4 Intracellular Domain Regulates Transcription",20,-0.820837738053051,-1.99076771765687,9.06322085700068e-07,5.17635174962844e-06,5.7766107672778e-05,447,"tags=35%, list=2%, signal=34%","59/388585/23493/3280/23462/2324/4855","ACTA2, HES5, HEY2, HES1, HEY1, FLT4, NOTCH4"
"R-HSA-8948216","Collagen chain trimerization",41,-0.712461319380128,-1.97925346240805,8.9900765598969e-07,5.15553370067557e-06,5.7766107672778e-05,2664,"tags=63%, list=14%, signal=54%","1286/91522/85301/1294/1289/1285/169044/1295/1307/1278/1280/84570/1281/1305/80781/1290/7373/1291/1292/1277/50509/1303/1284/1282/1306/81578","COL4A4, COL23A1, COL27A1, COL7A1, COL5A1, COL4A3, COL22A1, COL8A1, COL16A1, COL1A2, COL2A1, COL25A1, COL3A1, COL13A1, COL18A1, COL5A2, COL14A1, COL6A1, COL6A2, COL1A1, COL5A3, COL12A1, COL4A2, COL4A1, COL15A1, COL21A1"
"R-HSA-3781865","Diseases of glycosylation",134,-0.563532222238494,-1.79946934392728,7.79252579755105e-07,4.58096181822561e-06,5.7766107672778e-05,3509,"tags=36%, list=19%, signal=29%","1605/9060/4060/2239/4958/80070/4582/5549/2131/6385/2817/11174/54437/92949/375790/170692/57188/9508/79875/170690/2719/55901/11095/10417/4584/10675/170689/10071/9469/1463/7058/56999/9037/9215/633/9719/80731/9510/221981/11096/4854/11173/1464/176/81792/3339/4855/9507","DAG1, PAPSS2, LUM, GPC4, OMD, ADAMTS20, MUC1, PRELP, EXT1, SDC4, GPC1, ADAMTS6, SEMA5B, ADAMTSL1, AGRN, ADAMTS18, ADAMTSL3, ADAMTS3, THSD4, ADAMTS16, GPC3, THSD1, ADAMTS8, SPON2, MUC3A, CSPG5, ADAMTS15, MUC12, CHST3, NCAN, THBS2, ADAMTS9, SEMA5A, LARGE1, BGN, ADAMTSL2, THSD7B, ADAMTS1, THSD7A, ADAMTS5, NOTCH3, ADAMTS7, CSPG4, ACAN, ADAMTS12, HSPG2, NOTCH4, ADAMTS4"
"R-HSA-216083","Integrin cell surface interactions",83,-0.607191433561017,-1.85743714673005,1.09161015633309e-06,6.01455792018822e-06,6.62626515949563e-05,3500,"tags=61%, list=19%, signal=50%","3688/1297/4060/1287/3678/3384/3673/22801/1286/3696/91522/5175/1294/375790/3655/1289/7087/8515/999/7412/3680/3694/1285/3675/2200/1295/3383/1307/3690/1278/3672/1280/1281/58494/1305/3371/3679/80781/8516/1290/1291/1292/1277/50509/7450/1284/83700/3386/1282/3339/3791","ITGB1, COL9A1, LUM, COL4A5, ITGA5, ICAM2, ITGA2, ITGA11, COL4A4, ITGB8, COL23A1, PECAM1, COL7A1, AGRN, ITGA6, COL5A1, ICAM5, ITGA10, CDH1, VCAM1, ITGA9, ITGB6, COL4A3, ITGA3, FBN1, COL8A1, ICAM1, COL16A1, ITGB3, COL1A2, ITGA1, COL2A1, COL3A1, JAM2, COL13A1, TNC, ITGA7, COL18A1, ITGA8, COL5A2, COL6A1, COL6A2, COL1A1, COL5A3, VWF, COL4A2, JAM3, ICAM4, COL4A1, HSPG2, KDR"
"R-HSA-5173214","O-glycosylation of TSR domain-containing proteins",37,-0.726766110687219,-1.98648016712539,1.18385656462065e-06,6.47205631631131e-06,6.85957081222776e-05,2670,"tags=62%, list=14%, signal=53%","11174/54437/92949/170692/57188/9508/79875/170690/55901/11095/10417/170689/7058/56999/9037/9719/80731/9510/221981/11096/11173/81792/9507","ADAMTS6, SEMA5B, ADAMTSL1, ADAMTS18, ADAMTSL3, ADAMTS3, THSD4, ADAMTS16, THSD1, ADAMTS8, SPON2, ADAMTS15, THBS2, ADAMTS9, SEMA5A, ADAMTSL2, THSD7B, ADAMTS1, THSD7A, ADAMTS5, ADAMTS7, ADAMTS12, ADAMTS4"
"R-HSA-202403","TCR signaling",114,0.479016733053741,2.02570911136431,1.42462261519562e-06,7.55318782773525e-06,7.66889153333856e-05,3119,"tags=32%, list=17%, signal=27%","3932/917/143471/916/915/27040/9402/5788/920/26191/7454/3702/7535/1445/5795/51466/3122/3113/9398/3117/919/3115/3118/5588/50852/84433/5699/3635/3937/5721/5058/5336/3123/5698/23118/5170/3551","LCK, CD3G, PSMA8, CD3E, CD3D, LAT, GRAP2, PTPRC, CD4, PTPN22, WAS, ITK, ZAP70, CSK, PTPRJ, EVL, HLA-DRA, HLA-DPA1, CD101, HLA-DQA1, CD247, HLA-DPB1, HLA-DQA2, PRKCQ, TRAT1, CARD11, PSMB10, INPP5D, LCP2, PSME2, PAK1, PLCG2, HLA-DRB1, PSMB9, TAB2, PDPK1, IKBKB"
"R-HSA-2022090","Assembly of collagen fibrils and other multimeric structures",57,-0.661833613728058,-1.91774921260032,1.44385406242873e-06,7.62637202147506e-06,7.66889153333856e-05,2664,"tags=60%, list=14%, signal=51%","1286/649/84171/7093/85301/1294/3655/3691/1289/3909/4316/977/5118/7092/1285/1295/4017/4016/1278/1280/3918/1281/80781/1290/7373/1291/7837/1292/1277/50509/1303/1284/1282/1306","COL4A4, BMP1, LOXL4, TLL2, COL27A1, COL7A1, ITGA6, ITGB4, COL5A1, LAMA3, MMP7, CD151, PCOLCE, TLL1, COL4A3, COL8A1, LOXL2, LOXL1, COL1A2, COL2A1, LAMC2, COL3A1, COL18A1, COL5A2, COL14A1, COL6A1, PXDN, COL6A2, COL1A1, COL5A3, COL12A1, COL4A2, COL4A1, COL15A1"
"R-HSA-3371571","HSF1-dependent transactivation",23,-0.797105095293805,-1.98899788495313,2.00031403205385e-06,1.00372900536988e-05,0.000101994959697567,2127,"tags=52%, list=12%, signal=46%","3312/3326/1410/2288/26353/3306/3320/816/3305/3304/3303/3337","HSPA8, HSP90AB1, CRYAB, FKBP4, HSPB8, HSPA2, HSP90AA1, CAMK2B, HSPA1L, HSPA1B, HSPA1A, DNAJB1"
"R-HSA-8874081","MET activates PTK2 signaling",30,-0.756104548837976,-1.9960009749207,2.63056941774983e-06,1.24025168856997e-05,0.000128972452020042,3630,"tags=77%, list=20%, signal=62%","284217/3914/3688/3673/85301/1289/3909/5747/3675/1278/1280/3918/3908/3913/3915/3911/1281/3912/1290/3910/1277/50509/10319","LAMA1, LAMB3, ITGB1, ITGA2, COL27A1, COL5A1, LAMA3, PTK2, ITGA3, COL1A2, COL2A1, LAMC2, LAMA2, LAMB2, LAMC1, LAMA5, COL3A1, LAMB1, COL5A2, LAMA4, COL1A1, COL5A3, LAMC3"
"R-HSA-1442490","Collagen degradation",59,-0.640799760067822,-1.86603501288714,5.10086415193486e-06,2.15864883538207e-05,0.000240824424483163,2664,"tags=47%, list=14%, signal=41%","1286/91522/1294/1289/4316/1285/1295/1307/1278/1280/84570/4324/1281/1305/4320/4312/80781/1290/7373/1291/1292/1277/50509/4319/1303/1284/1282/1306","COL4A4, COL23A1, COL7A1, COL5A1, MMP7, COL4A3, COL8A1, COL16A1, COL1A2, COL2A1, COL25A1, MMP15, COL3A1, COL13A1, MMP11, MMP1, COL18A1, COL5A2, COL14A1, COL6A1, COL6A2, COL1A1, COL5A3, MMP10, COL12A1, COL4A2, COL4A1, COL15A1"
"R-HSA-202430","Translocation of ZAP-70 to Immunological synapse",17,0.826473310911349,2.42306711822431,9.07067279004102e-06,3.53027569806306e-05,0.000412954313862394,1591,"tags=76%, list=9%, signal=70%","3932/917/916/915/920/26191/7535/3122/3113/3117/919/3115/3118","LCK, CD3G, CD3E, CD3D, CD4, PTPN22, ZAP70, HLA-DRA, HLA-DPA1, HLA-DQA1, CD247, HLA-DPB1, HLA-DQA2"
"R-HSA-421270","Cell-cell junction organization",55,-0.641778354236977,-1.85833366845635,9.96839494867878e-06,3.82666527401467e-05,0.000438175182680581,3699,"tags=55%, list=20%, signal=44%","1499/1000/9069/5819/5818/9071/5817/92359/25945/56288/84552/84612/9075/1004/1009/1006/999/1366/53842/9076/221935/3728/1002/23562/1365/1007/1364/1003/1012/7122","CTNNB1, CDH2, CLDN12, NECTIN2, NECTIN1, CLDN10, PVR, CRB3, NECTIN3, PARD3, PARD6G, PARD6B, CLDN2, CDH6, CDH11, CDH8, CDH1, CLDN7, CLDN22, CLDN1, SDK1, JUP, CDH4, CLDN14, CLDN3, CDH9, CLDN4, CDH5, CDH13, CLDN5"
"R-HSA-380108","Chemokine receptors bind chemokines",53,0.560179598450705,2.05032850507469,1.0754408410659e-05,4.06181285402579e-05,0.000456968020537126,2235,"tags=51%, list=12%, signal=45%","6346/2829/6366/1524/2833/1230/1232/729230/6352/1237/1234/4283/6357/3577/3579/6846/6375/3627/6363/6373/10663/58191/1238/6387/6374/10563/1233","CCL1, XCR1, CCL21, CX3CR1, CXCR3, CCR1, CCR3, CCR2, CCL5, CCR8, CCR5, CXCL9, CCL13, CXCR1, CXCR2, XCL2, XCL1, CXCL10, CCL19, CXCL11, CXCR6, CXCL16, ACKR2, CXCL12, CXCL5, CXCL13, CCR4"
"R-HSA-445355","Smooth Muscle Contraction",40,-0.679390173342822,-1.87624484249398,1.13821955222712e-05,4.2419057583e-05,0.000468042063751117,2026,"tags=40%, list=11%, signal=36%","10580/8913/7414/7169/3672/7168/800/4638/8912/10398/8654/59/72/25802/4629/2977","SORBS1, CACNA1G, VCL, TPM2, ITGA1, TPM1, CALD1, MYLK, CACNA1H, MYL9, PDE5A, ACTA2, ACTG2, LMOD1, MYH11, GUCY1A2"
"R-HSA-3371497","HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand",53,-0.638893327839814,-1.84004842000402,1.32036469250908e-05,4.76892646009065e-05,0.000525974224548849,4212,"tags=51%, list=23%, signal=39%","10671/8655/367/51807/4306/10963/10382/10383/347733/7280/3312/10381/84617/3326/112714/5241/2288/113457/1780/3306/3301/3320/3305/3304/3303/55466/3337","DCTN6, DYNLL1, AR, TUBA8, NR3C2, STIP1, TUBB4A, TUBB4B, TUBB2B, TUBB2A, HSPA8, TUBB3, TUBB6, HSP90AB1, TUBA3E, PGR, FKBP4, TUBA3D, DYNC1I1, HSPA2, DNAJA1, HSP90AA1, HSPA1L, HSPA1B, HSPA1A, DNAJA4, DNAJB1"
"R-HSA-419037","NCAM1 interactions",38,-0.689352640981806,-1.88838278322982,1.70282626356143e-05,5.92165828773344e-05,0.000657774355717033,2664,"tags=61%, list=14%, signal=52%","1286/8128/375790/1289/776/8913/1285/784/9048/1280/4902/1463/1281/8912/1290/1291/1292/50509/775/1284/1282/783/779","COL4A4, ST8SIA2, AGRN, COL5A1, CACNA1D, CACNA1G, COL4A3, CACNB3, ARTN, COL2A1, NRTN, NCAN, COL3A1, CACNA1H, COL5A2, COL6A1, COL6A2, COL5A3, CACNA1C, COL4A2, COL4A1, CACNB2, CACNA1S"
